"row_index","intID","AlertType","AlertState","DateCreated","DateClosed","CaseOpen","CaseClosed","CaseReported","CaseState","PEP","CusRiskCategory","Type","IndustryCode","PEP_clean","CusRiskCategory_clean","escalated_to_case","sar_filed","case_state_clean","days_to_alert_close","days_case_investig","days_close_to_report","year_created","yearmon_created","IndustryRiskScore","IndustrySegment","IndustrySegment_clean"
"10364",2095,"Check Countries List","Closed - Not Suspicious",2011-02-18,2011-02-23,NA,NA,NA,NA,NA,"Not Specified","LC&FI",NA,"Not applicable (LC&FI)","Not Specified",FALSE,FALSE,"No case opened",5,NA,NA,2011,2011-02-01,NA,NA,"Other / not in high-risk industry list"
"9620",1351,"Unusual behaviour","Closed - Not Suspicious",2009-10-07,2010-01-15,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",100,NA,NA,2009,2009-10-01,NA,NA,"Other / not in high-risk industry list"
"7210",17208,"Unusual behaviour","Closed - Not Suspicious",2021-01-30,2021-02-01,NA,NA,NA,NA,"N","Medium Risk","Private Banking",NA,"Not PEP","Medium Risk",FALSE,FALSE,"No case opened",2,NA,NA,2021,2021-01-01,NA,NA,"Not applicable (PB)"
"1689",1689,"New Destinations with high turnover","Closed - Not Suspicious",2014-08-27,2014-08-28,NA,NA,NA,NA,"N","Medium Risk","Private Banking",NA,"Not PEP","Medium Risk",FALSE,FALSE,"No case opened",1,NA,NA,2014,2014-08-01,NA,NA,"Not applicable (PB)"
"12730",14536,"Cash","Closed - Processed externally",2015-09-02,2015-09-02,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",0,NA,NA,2015,2015-09-01,NA,NA,"Other / not in high-risk industry list"
"16501",18307,"Credit Cards","Closed - Not Suspicious",2017-05-05,2017-07-01,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",57,NA,NA,2017,2017-05-01,NA,NA,"Other / not in high-risk industry list"
"13531",15337,"Credit Cards","Closed - Not Suspicious",2016-03-03,2016-05-18,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",76,NA,NA,2016,2016-03-01,NA,NA,"Other / not in high-risk industry list"
"2441",2441,"Awakening Account","Closed - Not Suspicious",2015-09-23,2015-09-23,NA,NA,NA,NA,NA,"Not Specified","Private Banking",NA,"Unknown / not recorded","Not Specified",FALSE,FALSE,"No case opened",0,NA,NA,2015,2015-09-01,NA,NA,"Not applicable (PB)"
"168",168,"Unusual behaviour","Closed - Not Suspicious",2010-09-20,2010-09-21,NA,NA,NA,NA,NA,"Lower Risk","Private Banking",NA,"Unknown / not recorded","Lower Risk",FALSE,FALSE,"No case opened",1,NA,NA,2010,2010-09-01,NA,NA,"Not applicable (PB)"
"5321",5321,"Unusual behaviour","Closed - Not Suspicious",2019-12-13,2019-12-17,NA,NA,NA,NA,NA,"Lower Risk","Private Banking",NA,"Unknown / not recorded","Lower Risk",FALSE,FALSE,"No case opened",4,NA,NA,2019,2019-12-01,NA,NA,"Not applicable (PB)"
